source_id ra dec parallax Gmag
3021350342725413888 91.42660546804082 -3.703660233304853 2.373016688174351 15.152931
6603855853638985088 341.8120969296218 -32.20411644043619 4.786613502011977 14.085834
5486883431459797888 106.72232527782418 -57.37831165310788 2.743885953942108 15.325739
5482057537486404608 92.07232525646005 -61.14101995198075 3.4606660666723617 13.260232
4793200102386417152 85.0131818903767 -51.029852311184676 2.7654965304678822 14.44448
5490080330237705856 109.47460314036157 -55.737954634828775 3.7040901967369573 13.680348
6171500325088397824 206.65706816101974 -32.437275461452806 2.493106215348861 15.255796
5661344418907795968 143.1944686473779 -26.12150015102721 7.106686730364477 13.2111025
5302848068563775360 130.76687707324854 -58.85738296481983 3.0731812523713815 13.671766
4767136694646117248 88.55662715961255 -56.80265788933834 8.861982543948779 11.535174
