time_o,mag,oflux,nflux,enflux,lc_part,time
1355.4732367722365,13.250638982608606,1.0178420906285581,1.0011369480257897,0.0012350044002050148,0.0,1.3333358093620973
1355.5982368887348,13.251187915135066,1.017327614451337,1.0010800808270168,0.001236163139798059,0.0,1.4583359258604105
1355.660736940465,13.251008176277962,1.0174960425078354,1.0014649911626168,0.001235810338884654,0.0,1.5208359775906501
1355.6815702900326,13.251790851768448,1.0167628236652053,1.000815540112036,0.0012358755410961319,0.0,1.5416693271581607
1355.7024036391354,13.25124171072795,1.017277209586743,1.0013937205438557,0.0012360674764687414,0.0,1.5625026762609195
1355.764903683647,13.252999367275121,1.0156317109481365,0.9999868430626186,0.0012375353052275458,0.0,1.6250027207724997
1355.8065703776606,13.250994469559748,1.017508887819165,1.0019754136841752,0.0012349554435327334,0.0,1.6666694147861563
1355.8482370698116,13.252619346922648,1.015987256127847,1.000615625463908,0.001237001568021009,0.0,1.7083361069371676
1355.8690704149553,13.252945272222252,1.0156823144184317,1.000384026332848,0.0012371366958604045,0.0,1.729169452080896
1355.910737104311,13.254019090852832,1.0146782773222516,0.9995313380942624,0.0012372522518375403,0.0,1.7708361414365754
1355.9315704482915,13.252058912780996,1.0165118227059766,1.0014052067970793,0.001236052351345178,0.0,1.79166948541706
1355.9524037915735,13.253115065970281,1.0155234885249582,1.0004988289304224,0.0012371036361002643,0.0,1.8125028286990528
1355.9732371346215,13.254864818238353,1.013888207812015,0.9989545538506986,0.001241002389496182,0.0,1.833336171747078
1355.9940704772034,13.252836401866235,1.0157841653458193,1.0008891638198762,0.001237263124723009,0.0,1.8541695143289871
1356.0149038193208,13.254799694306968,1.0139490240269153,0.9991470449777613,0.0012389368926455223,0.0,1.8750028564463719
1356.0357371607406,13.256216450865224,1.0126268040552215,0.9979097998639118,0.0012401552299301283,0.0,1.8958361978661742
1356.0565705019271,13.255362754381292,1.0134233289284404,0.9987601312078265,0.001238962761359247,0.0,1.916669539052691
1356.0774038426466,13.252582846800909,1.0160214120137014,1.001385837880817,0.0012355645609801816,0.0,1.9375028797721825
1356.0982371829,13.254754359058484,1.0139913626635586,0.9994497701883779,0.001239596065443831,0.0,1.9583362200255579
1356.1190705224565,13.254745889559226,1.0139992725338858,0.9995219678938838,0.00123861538513917,0.0,1.979169559582033
1356.1399038617806,13.254071835932614,1.0146289854348745,1.0002067980840321,0.0012373720463592763,0.0,2.000002898906132
1356.160737200638,13.256768465323034,1.012112091036347,0.9977892976266345,0.0012394129263891124,0.0,2.0208362377636604
1356.1815705390295,13.258996968718067,1.0100368336478063,0.9958065673688704,0.001242160061068163,0.0,2.0416695761550727
1356.244070551178,13.253314977338913,1.0153365222981068,1.0012201037036854,0.0012369122218570327,0.0,2.104169588303648
1356.2649038877075,13.256006519127126,1.012822618708249,0.9988031940514299,0.0012386566802956938,0.0,2.1250029248330975
1356.2857372237715,13.253517866815484,1.0151468060039195,1.0011570754908694,0.0012369186640672162,0.0,2.145836260897113
1356.30657055937,13.253710980693207,1.0149662635276155,1.001040555762373,0.0012365798057016597,0.0,2.166669596495467
1356.3482372291674,13.256703321488413,1.0121728192688628,0.9984072435057463,0.0012390726908490506,0.0,2.2083362662929176
1356.369070563369,13.255954129860022,1.0128714909063437,0.9991568961106386,0.001238652770001689,0.0,2.229169600494515
1356.389903897105,13.254271712493736,1.0144422164153015,1.000766623097335,0.0012374049030058356,0.0,2.2500029342304515
1356.410737230374,13.255983533225905,1.0128440611976879,0.9992498876817266,0.0012395854289651287,0.0,2.2708362674995897
1356.431570563178,13.259268025698052,1.0097847066939525,0.9962909854421285,0.0012427843228559536,0.0,2.2916696003035213
1356.452403895516,13.254827436209222,1.0139231167068563,1.000433431414407,0.001237971104304581,0.0,2.3125029326415643
1356.4732372273888,13.257157957485909,1.0117490755767755,0.9983472309638309,0.0012398267587506347,0.0,2.3333362645144007
1356.4940705587965,13.256888668900281,1.0120000447040305,0.9986535143342016,0.001239686644628562,0.0,2.3541695959220306
1356.5149038899704,13.256689227678242,1.0121859582469137,0.9988953293276247,0.0012402053445793005,0.0,2.3750029270959203
1356.5357372204462,13.256227755874892,1.012616260337364,0.9993780722980494,0.0012392204012803166,0.0,2.395836257571773
1356.5565705504564,13.25331963954346,1.015332162402614,1.0021164293546172,0.0012368356957044055,0.0,2.416669587581964
1356.5774038802347,13.257510039315374,1.0114210394359298,0.9983136701352804,0.0012404367043565077,0.0,2.4375029173602343
1356.5982372093126,13.258004320945219,1.010960694594329,0.9979164375505349,0.0012400618048955573,0.0,2.4583362464381935
1356.6190705381575,13.255008822796034,1.013753741594368,1.000730472050735,0.001237950136373121,0.0,2.4791695752830947
1356.6607371942205,13.256676994353272,1.0121973629228014,0.9993071325012434,0.0012406152005095287,0.0,2.5208362313460384
1356.681570521669,13.258167230910306,1.0108090157468945,0.9979924972812275,0.0012413133933527947,0.0,2.541669558794638
1356.7024038484196,13.257546925776177,1.0113866783189023,0.9986186407443461,0.001240818747838887,0.0,2.5625028855452
1356.723237174937,13.255355310431577,1.0134302771154213,1.000692075954035,0.0012381597680832016,0.0,2.583336212062477
1356.7440705009885,13.25605503403205,1.012777362876273,1.0001027092915855,0.0012393383329357623,0.0,2.6041695381140926
1356.764903826575,13.25472538324985,1.0140184241280414,1.0013833866772957,0.0012386700424745635,0.0,2.6250028637005016
1356.785737151695,13.254756598295547,1.0139892713961867,1.0014094712294688,0.0012388729111645646,0.0,2.6458361888205673
