time,mag,cbv_oflux,eflux,nflux_ori,nflux_err,nflux_dtr,lc_part,pass_sparse,pass_clean_outlier,pass_clean_scatter,pass_full_outlier
1325.328888,9.582881,22021.530030,4.381757,0.953617,1.9898e-04,0.998294,1,True,False,True,True
1325.349722,9.582155,22036.257997,4.387785,0.954255,1.9912e-04,0.998918,1,True,False,True,True
1325.370556,9.581653,22046.459377,4.394466,0.954697,1.9933e-04,0.999336,1,True,True,True,True
1325.391390,9.581517,22049.217124,4.398973,0.954816,1.9951e-04,0.999417,1,True,True,True,True
1325.412224,9.581888,22041.676739,4.403336,0.954490,1.9977e-04,0.999031,1,True,True,True,True
1325.433058,9.581734,22044.812005,4.407490,0.954625,1.9993e-04,0.999128,1,True,True,True,True
1325.453892,9.581220,22055.253516,4.412792,0.955078,2.0008e-04,0.999557,1,True,True,True,True
1325.474726,9.581862,22042.214469,4.416886,0.954513,2.0038e-04,0.998922,1,True,True,True,True
1325.495560,9.581084,22058.010789,4.422607,0.955197,2.0050e-04,0.999594,1,True,True,True,True
1325.516394,9.581002,22059.683605,4.429623,0.955269,2.0080e-04,0.999625,1,True,True,True,True
1325.537228,9.580846,22062.844342,4.436921,0.955406,2.0110e-04,0.999724,1,True,True,True,True
1325.558062,9.581024,22059.224933,4.440236,0.955250,2.0129e-04,0.999516,1,True,True,True,True
1325.578895,9.580796,22063.860708,4.445516,0.955450,2.0148e-04,0.999682,1,True,True,True,True
1325.599729,9.580383,22072.264871,4.449980,0.955814,2.0161e-04,1.000018,1,True,True,True,True
1325.620563,9.581121,22057.258397,4.450494,0.955164,2.0177e-04,0.999294,1,True,True,True,True
1325.641397,9.580299,22073.973644,4.451515,0.955888,2.0166e-04,1.000007,1,True,True,True,True
1325.662231,9.579705,22086.041321,4.452271,0.956411,2.0159e-04,1.000510,1,True,True,True,True
1325.683065,9.580811,22063.568723,4.450179,0.955438,2.0170e-04,0.999447,1,True,True,True,True
1325.703899,9.579997,22080.098999,4.452802,0.956154,2.0167e-04,1.000152,1,True,True,True,True
1325.724733,9.579875,22082.586634,4.453519,0.956261,2.0168e-04,1.000220,1,True,True,True,True
1325.745567,9.579922,22081.638740,4.456436,0.956220,2.0182e-04,1.000133,1,True,True,True,True
1325.766401,9.579358,22093.104076,4.459549,0.956717,2.0185e-04,1.000608,1,True,True,True,True
1325.787235,9.580204,22075.898749,4.462004,0.955972,2.0212e-04,0.999785,1,True,True,True,True
1325.808069,9.580197,22076.034896,4.464966,0.955978,2.0225e-04,0.999746,1,True,True,True,True
1325.828902,9.579656,22087.053949,4.468397,0.956455,2.0231e-04,1.000201,1,True,True,True,True
1325.849736,9.579732,22085.497005,4.468236,0.956387,2.0232e-04,1.000086,1,True,True,True,True
1325.870570,9.579178,22096.773838,4.468040,0.956876,2.0220e-04,1.000553,1,True,True,True,True
1325.891404,9.579368,22092.908121,4.463935,0.956708,2.0205e-04,1.000333,1,True,True,True,True
1325.912238,9.579630,22087.577663,4.461802,0.956477,2.0201e-04,1.000048,1,True,True,True,True
1325.933072,9.578651,22107.495175,4.461257,0.957340,2.0180e-04,1.000905,1,True,True,True,True
1325.953906,9.579374,22092.772863,4.459070,0.956702,2.0183e-04,1.000195,1,True,True,True,True
1325.974740,9.578627,22107.980620,4.459355,0.957361,2.0171e-04,1.000839,1,True,True,True,True
1325.995574,9.579404,22092.163369,4.458123,0.956676,2.0180e-04,1.000079,1,True,True,True,True
1326.016408,9.578646,22107.593385,4.461829,0.957344,2.0182e-04,1.000733,1,True,True,True,True
1326.037242,9.578597,22108.605337,4.463421,0.957388,2.0189e-04,1.000734,1,True,True,True,True
1326.058075,9.578815,22104.156101,4.464048,0.957195,2.0196e-04,1.000489,1,True,True,True,True
1326.078909,9.579046,22099.452066,4.463557,0.956992,2.0198e-04,1.000231,1,True,True,True,True
1326.099743,9.578317,22114.298421,4.465970,0.957635,2.0195e-04,1.000859,1,True,True,True,True
1326.120577,9.579232,22095.680182,4.465135,0.956828,2.0208e-04,0.999972,1,True,True,True,True
1326.141411,9.578276,22115.136593,4.468160,0.957671,2.0204e-04,1.000809,1,True,True,True,True
1326.162245,9.578474,22111.110967,4.466983,0.957496,2.0202e-04,1.000582,1,True,True,True,True
1326.183079,9.578456,22111.476124,4.468162,0.957512,2.0207e-04,1.000554,1,True,True,True,True
1326.203913,9.578996,22100.465831,4.467644,0.957036,2.0215e-04,1.000012,1,True,True,True,True
1326.224747,9.578537,22109.820051,4.468548,0.957441,2.0211e-04,1.000391,1,True,True,True,True
1326.245580,9.578989,22100.615055,4.467018,0.957042,2.0212e-04,0.999930,1,True,True,True,True
1326.266414,9.578021,22120.331045,4.467951,0.957896,2.0198e-04,1.000778,1,True,True,True,True
1326.287248,9.578084,22119.045111,4.466711,0.957840,2.0194e-04,1.000676,1,True,True,True,True
1326.308082,9.578039,22119.969985,4.467828,0.957880,2.0198e-04,1.000673,1,True,True,True,True
1326.328916,9.578489,22110.791337,4.467265,0.957483,2.0204e-04,1.000214,1,True,True,True,True
