time,mag,cbv_oflux,eflux,nflux_ori,nflux_err,nflux_dtr,lc_part,pass_sparse,pass_clean_outlier,pass_clean_scatter,pass_full_outlier
1325.912510,9.756062,18774.800155,4.059498,0.992556,2.1622e-04,0.969048,1,True,True,True,True
1325.933344,9.753529,18818.646851,4.059270,0.994874,2.1570e-04,0.971346,1,True,True,True,True
1325.954177,9.749059,18896.285271,4.062488,0.998979,2.1499e-04,0.975389,1,True,True,True,True
1325.975011,9.745651,18955.693564,4.065657,1.002120,2.1448e-04,0.978491,1,True,True,True,True
1325.995844,9.745597,18956.625273,4.067743,1.002169,2.1458e-04,0.978574,1,True,True,True,True
1326.016678,9.748567,18904.856632,4.071664,0.999432,2.1538e-04,0.975937,1,True,True,True,True
1326.037511,9.750552,18870.311222,4.065190,0.997606,2.1543e-04,0.974189,1,True,True,True,True
1326.058344,9.750174,18876.882130,4.044611,0.997953,2.1426e-04,0.974564,1,True,True,True,True
1326.079178,9.747922,18916.079590,4.034037,1.000025,2.1326e-04,0.976623,1,True,True,True,True
1326.100011,9.747891,18916.626469,4.029450,1.000054,2.1301e-04,0.976687,1,True,True,True,True
1326.120845,9.747490,18923.602903,4.027959,1.000423,2.1285e-04,0.977083,1,True,True,True,True
1326.141678,9.747482,18923.754032,4.031982,1.000431,2.1306e-04,0.977126,1,True,True,True,True
1326.162512,9.747623,18921.297450,4.040854,1.000301,2.1356e-04,0.977034,1,True,True,True,True
1326.183345,9.747500,18923.430300,4.047567,1.000414,2.1389e-04,0.977180,1,True,True,True,True
1326.204179,9.745824,18952.663488,4.053299,1.001959,2.1386e-04,0.978725,1,True,True,True,True
1326.225012,9.744309,18979.137248,4.057528,1.003359,2.1379e-04,0.980128,1,True,True,True,True
1326.245845,9.742567,19009.607709,4.062817,1.004970,2.1372e-04,0.981737,1,True,True,True,True
1326.266679,9.739560,19062.326134,4.070758,1.007757,2.1355e-04,0.984495,1,True,True,True,True
1326.287512,9.737440,19099.579776,4.080050,1.009726,2.1362e-04,0.986455,1,True,True,True,True
1326.308346,9.734560,19150.318119,4.091403,1.012409,2.1365e-04,0.989112,1,True,True,True,True
1326.329179,9.731120,19211.083188,4.099189,1.015621,2.1338e-04,0.992286,1,True,True,True,True
1326.350013,9.729943,19231.927551,4.108890,1.016723,2.1365e-04,0.993399,1,True,True,True,True
1326.370846,9.726660,19290.171391,4.140009,1.019802,2.1462e-04,0.996444,1,True,True,True,True
1326.391680,9.731726,19200.376635,4.212461,1.015055,2.1939e-04,0.991841,1,True,True,True,True
1326.412513,9.724553,19327.636424,4.371328,1.021783,2.2617e-04,0.998452,1,True,True,True,True
1326.433346,9.717730,19449.474267,4.376942,1.028224,2.2504e-04,1.004782,1,True,True,True,True
1326.454180,9.714414,19508.975210,4.256012,1.031370,2.1816e-04,1.007893,1,True,True,True,True
1326.475013,9.711284,19565.286295,4.146276,1.034347,2.1192e-04,1.010839,1,True,True,True,True
1326.495847,9.708148,19621.885008,4.103704,1.037339,2.0914e-04,1.013799,1,True,True,True,True
1326.516680,9.705250,19674.325538,4.080775,1.040111,2.0742e-04,1.016546,1,True,True,True,True
1326.537514,9.704394,19689.850550,4.072138,1.040932,2.0681e-04,1.017385,1,True,True,True,True
1326.558347,9.704864,19681.330691,4.068690,1.040481,2.0673e-04,1.016982,1,True,True,True,True
1326.579180,9.705470,19670.339940,4.066983,1.039900,2.0676e-04,1.016451,1,True,True,True,True
1326.600014,9.706754,19647.094772,4.064406,1.038671,2.0687e-04,1.015286,1,True,True,True,True
1326.620847,9.708492,19615.671534,4.062446,1.037010,2.0710e-04,1.013699,1,True,True,True,True
1326.641681,9.710439,19580.535814,4.058125,1.035153,2.0725e-04,1.011920,1,True,True,True,True
1326.662514,9.712440,19544.468910,4.055121,1.033246,2.0748e-04,1.010093,1,True,True,True,True
1326.683348,9.715218,19494.523343,4.051172,1.030606,2.0781e-04,1.007549,1,True,True,True,True
1326.704181,9.718522,19435.299603,4.047170,1.027475,2.0824e-04,1.004524,1,True,True,True,True
1326.725014,9.720914,19392.529780,4.046859,1.025214,2.0868e-04,1.002350,1,True,True,True,True
1326.745848,9.723291,19350.116427,4.048826,1.022971,2.0924e-04,1.000194,1,True,True,True,True
1326.766681,9.725688,19307.449536,4.053979,1.020716,2.0997e-04,0.998025,1,True,True,True,True
1326.787515,9.728011,19266.183327,4.058641,1.018534,2.1066e-04,0.995928,1,True,True,True,True
1326.808348,9.730610,19220.109019,4.061871,1.016098,2.1133e-04,0.993582,1,True,True,True,True
1326.829182,9.733502,19168.993956,4.065354,1.013396,2.1208e-04,0.990976,1,True,True,True,True
1326.850015,9.736935,19108.475304,4.067270,1.010197,2.1285e-04,0.987883,1,True,True,True,True
1326.870848,9.738688,19077.643528,4.068988,1.008567,2.1329e-04,0.986325,1,True,True,True,True
1326.891682,9.740168,19051.658096,4.069511,1.007193,2.1360e-04,0.985018,1,True,True,True,True
1326.912515,9.742717,19006.983652,4.068944,1.004831,2.1408e-04,0.982744,1,True,True,True,True
1326.933349,9.746353,18943.437118,4.066755,1.001472,2.1468e-04,0.979494,1,True,True,True,True
1326.954182,9.752594,18834.857154,4.059594,0.995731,2.1554e-04,0.973915,1,True,True,True,True
1326.975016,9.749665,18885.745251,4.066493,0.998422,2.1532e-04,0.976582,1,True,True,True,True
1326.995849,9.749395,18890.439489,4.069833,0.998670,2.1544e-04,0.976860,1,True,True,True,True
1327.016682,9.749951,18880.761521,4.071273,0.998158,2.1563e-04,0.976395,1,True,True,True,True
1327.037516,9.749383,18890.646003,4.072781,0.998681,2.1560e-04,0.976942,1,True,True,True,True
1327.058349,9.750037,18879.274816,4.073449,0.998080,2.1576e-04,0.976389,1,True,True,True,True
1327.079183,9.749812,18883.188600,4.074904,0.998287,2.1580e-04,0.976627,1,True,True,True,True
1327.100016,9.751318,18857.016833,4.074555,0.996903,2.1608e-04,0.975309,1,True,True,True,True
1327.120850,9.752655,18833.795312,4.073530,0.995675,2.1629e-04,0.974143,1,True,True,True,True
1327.141683,9.751869,18847.436203,4.075774,0.996396,2.1625e-04,0.974884,1,True,True,True,True
1327.162516,9.754431,18803.015493,4.071172,0.994048,2.1652e-04,0.972622,1,True,True,True,True
1327.183350,9.748216,18910.956395,4.079701,0.999754,2.1573e-04,0.978241,1,True,True,True,True
1327.204183,9.750246,18875.633051,4.076116,0.997887,2.1595e-04,0.976449,1,True,True,True,True
