time,nflux,n_lc
1.5833454418275323,0.996310162631405,2
1.6104422614478984,0.9970640962439885,2
1.6375390810682646,0.9979834448897935,2
1.6646359006886307,0.9991263418607288,2
1.691732720308997,0.9993746411843293,3
1.718829539929363,0.9987393007404456,3
1.745926359549729,1.000000943469363,3
1.7730231791700952,0.9990697419571215,4
1.8001199987904613,0.9991192438440257,4
1.8272168184108275,1.0002989815968268,4
1.8543136380311935,1.0003798073280334,4
1.8814104576515598,1.0006789399592555,4
1.9085072772719258,1.000538685471624,4
1.935604096892292,1.0005072679593048,4
1.962700916512658,1.0006307571500859,5
1.9897977361330241,1.0003578480018736,6
2.01689455575339,0.9998582880169306,7
2.0439913753737566,0.9999049300610434,7
2.0710881949941227,0.9999937793733348,7
2.0981850146144887,0.9995781657748016,7
2.1252818342348547,0.9999610584431231,5
2.152378653855221,0.9995153382313151,6
2.1794754734755872,1.000191681905625,6
2.2065722930959533,1.001661217062563,6
2.2336691127163193,1.0000443349027255,7
2.2607659323366853,1.000041633466319,7
2.287862751957052,0.9995879778054724,8
2.314959571577418,1.0006899456203433,7
2.342056391197784,0.9998700241468474,8
2.36915321081815,0.9997750890595466,8
2.396250030438516,0.9999260801104384,8
2.4233468500588824,1.0005494329526554,8
2.4504436696792484,1.000418134194538,8
2.4775404892996145,1.000687636325389,8
2.5046373089199805,1.0007856207059744,8
2.5317341285403465,1.0006854692810907,7
2.558830948160713,0.9999181881938269,8
2.585927767781079,0.9999253613943084,8
2.613024587401445,0.9992833385546024,8
2.640121407021811,1.0006269618479244,8
2.667218226642177,1.0001973848991352,8
2.6943150462625436,0.9998567292172306,8
2.7214118658829096,1.000011931011561,8
2.7485086855032757,1.0000183914009888,8
2.775605505123642,0.9997854746000603,8
2.8027023247440077,1.0006913415603362,8
2.829799144364374,1.0004913621309603,8
2.85689596398474,1.0003500241172287,8
2.8839927836051062,1.000319962041592,8
2.9110896032254727,0.9999485264713943,8
2.9381864228458383,1.0002637296747043,8
2.965283242466205,1.000517818107867,8
2.992380062086571,1.0004840755054794,8
3.019476881706937,1.0011174377636456,8
3.0465737013273033,1.0006854014616364,8
3.073670520947669,1.000726301773803,8
3.1007673405680354,1.0009950134622916,8
3.1278641601884014,1.0005618833771144,8
3.1549609798087674,1.0000779224305358,8
3.182057799429134,0.9999841805792111,8
3.2091546190494995,1.0003097518195947,8
3.236251438669866,0.9999479067015095,8
3.263348258290232,0.99916362105097,8
3.290445077910598,0.9997659400433423,8
3.3175418975309645,0.999509566327271,8
3.34463871715133,0.9989048069809421,8
3.3717355367716966,1.0003131818707822,8
3.3988323563920626,1.0000951992471876,8
3.4259291760124286,0.9993497371063993,8
3.453025995632795,1.000391033864728,8
3.480122815253161,0.9992886733987492,8
3.507219634873527,0.9991066308387511,8
3.534316454493893,0.9993797945850924,8
3.5614132741142592,0.999292697950452,8
3.5885100937346257,0.9990370617081439,8
3.6156069133549917,0.9998343665531872,8
3.6427037329753578,0.9987217299689396,9
3.669800552595724,0.9998870819439218,9
3.69689737221609,0.9998768694148703,9
3.7239941918364563,0.9998011703907063,9
3.7510910114568223,0.9998142030162134,9
3.7781878310771884,0.9998758817114877,9
3.8052846506975544,0.9999368436254507,9
3.832381470317921,1.0000232666603144,9
3.859478289938287,0.9997206838906345,9
3.886575109558653,0.9995241998858689,9
3.913671929179019,1.0003454273766785,9
