time,nflux_dtr,nflux_err,lc_part,pass_clean_scatter,pass_clean_outlier,pass_full_outlier
2036.286018,0.991181,0.0042899,10,True,True,True
2036.292962,0.997198,0.00426735,10,True,True,True
2036.299907,0.994103,0.0042729,10,True,True,True
2036.306852,0.9891825,0.00429675,10,True,True,True
2036.313796,0.9936830000000001,0.00427545,10,True,True,True
2036.320741,0.995031,0.004287600000000001,10,True,True,True
2036.327685,0.9970895,0.00426625,10,True,True,True
2036.33463,0.9983655,0.00427715,10,True,True,True
2036.341575,0.9957214999999999,0.00426325,10,True,True,True
2036.348519,0.995189,0.0042755,10,True,True,True
2036.355464,0.9919555,0.00426705,10,True,True,True
2036.362408,0.9942285,0.00426625,10,True,True,True
2036.369353,0.9923595000000001,0.00427225,10,True,True,True
2036.376298,0.994224,0.00427285,10,True,True,True
2036.383242,0.9929325,0.004269800000000001,10,True,True,True
2036.390187,0.9950405,0.00426815,10,True,True,True
2036.397131,0.9941815,0.0042635,10,True,True,True
2036.404076,0.995438,0.004278850000000001,10,True,True,True
2036.411021,0.990047,0.00425295,10,True,True,True
2036.417965,0.9939389999999999,0.0042634000000000005,10,True,True,True
2036.42491,0.996117,0.0042648,10,True,True,True
2036.431855,0.9933105,0.004266300000000001,10,True,True,True
2036.438799,0.993331,0.0042586,10,True,True,True
2036.445744,0.993205,0.0042621,10,True,True,True
2036.452688,0.990372,0.00424795,10,True,True,True
2036.459633,0.9928589999999999,0.0042536499999999994,10,True,True,True
2036.466578,0.994283,0.0042596000000000005,10,True,True,True
2036.473522,0.9917214999999999,0.00425495,10,True,True,True
2036.480467,0.9938405,0.00426395,10,True,True,True
2036.487411,0.9950019999999999,0.0042488000000000005,10,True,True,True
2036.494356,0.9912259999999999,0.0042573,10,True,True,True
2036.501301,0.9917055,0.00425585,10,True,True,True
2036.508245,0.9915665,0.00424115,10,True,True,True
2036.51519,0.995309,0.0042515,10,True,True,True
2036.522134,0.995914,0.00426655,10,True,True,True
2036.529079,0.9919899999999999,0.004246450000000001,10,True,True,True
2036.536024,0.997017,0.0042436999999999996,10,True,True,True
2036.542968,0.993382,0.00425175,10,True,True,True
2036.549913,0.992383,0.0042372,10,True,True,True
2036.556857,0.9979899999999999,0.0042448,10,True,True,True
2036.563802,0.9919884999999999,0.004233300000000001,10,True,True,True
2036.570747,0.999414,0.0042502,10,True,True,True
2036.577691,0.9937825,0.004244899999999999,10,True,True,True
2036.584636,0.9936309999999999,0.00424455,10,True,True,True
2036.59158,0.9941445,0.004241,10,True,True,True
2036.598525,0.993601,0.004242,10,True,True,True
2036.60547,0.996521,0.0042381,10,True,True,True
2036.612414,0.9968984999999999,0.0042394,10,True,True,True
2036.619359,0.993557,0.004236,10,True,True,True
2036.626304,0.9976105,0.0042243,10,True,True,True
2036.633248,0.996362,0.0042317,10,True,True,True
2036.640193,0.99758,0.0042311,10,True,True,True
2036.647137,0.996156,0.0042436999999999996,10,True,True,True
2036.654082,0.994602,0.0042289,10,True,True,True
2036.661027,0.9981610000000001,0.00423855,10,True,True,True
2036.667971,0.993762,0.0042540500000000005,10,True,True,True
2036.674916,0.9938825,0.00424465,10,True,True,True
2036.68186,0.9965515,0.0042345,10,True,True,True
2036.688805,0.998151,0.00424815,10,True,True,True
2036.69575,0.995375,0.00424035,10,True,True,True
2036.702694,0.9990319999999999,0.0042373,10,True,True,True
2036.709639,0.999089,0.004252000000000001,10,True,True,True
2036.716583,0.9937365,0.00423155,10,True,True,True
2036.723528,0.9973110000000001,0.0042442,10,True,True,True
2036.730473,0.9976670000000001,0.00423315,10,True,True,True
2036.737417,0.9944065,0.0042523000000000005,10,True,True,True
2036.744362,0.998958,0.0042442999999999995,10,True,True,True
2036.751306,1.0017125,0.00423685,10,True,True,True
2036.758251,0.994594,0.00424035,10,True,True,True
2036.765196,1.0006765,0.00426155,10,True,True,True
2036.77214,0.9972015000000001,0.0042448,10,True,True,True
2036.779085,0.9974259999999999,0.00422675,10,True,True,True
2036.786029,0.99689,0.004237599999999999,10,True,True,True
2036.792974,1.001586,0.004235549999999999,10,True,True,True
2036.799919,0.997295,0.0042343,10,True,True,True
2036.806863,0.991746,0.0042394,10,True,True,True
2036.813808,0.9976085,0.00423805,10,True,True,True
2036.820752,0.995199,0.00423865,10,True,True,True
2036.827697,0.9955335000000001,0.0042538,10,True,True,True
2036.834642,0.9960104999999999,0.0042331,10,True,True,True
2036.841586,0.9963535,0.0042394,10,True,True,True
2036.848531,0.9958305000000001,0.0042512999999999995,10,True,True,True
2036.855476,0.9966655,0.0042349,10,True,True,True
2036.86242,0.9996750000000001,0.0042297,10,True,True,True
2036.869365,0.994683,0.00423225,10,True,True,True
2036.876309,0.995248,0.0042448,10,True,True,True
2036.883254,0.9954275,0.0042281,10,True,True,True
2036.890199,0.9942690000000001,0.00423695,10,True,True,True
2036.897143,0.997502,0.00423605,10,True,True,True
2036.904088,1.00122,0.0042435,10,True,True,True
2036.911032,0.9972669999999999,0.00422965,10,True,True,True
2036.917977,0.996798,0.00424275,10,True,True,True
2036.924922,1.001351,0.004233300000000001,10,True,True,True
2036.931866,0.997062,0.00424175,10,True,True,True
2036.938811,0.9963485000000001,0.0042449,10,True,True,True
2036.945755,0.999061,0.00424895,10,True,True,True
2036.9527,0.998548,0.00423275,10,True,True,True
2036.959645,0.9994014999999999,0.00424815,10,True,True,True
2036.966589,0.9990225,0.0042312,10,True,True,True
2036.973534,0.9981295,0.00424275,10,True,True,True
2036.980478,1.000258,0.0042375,10,True,True,True
2036.987423,0.9998184999999999,0.0042239,10,True,True,True
2036.994368,1.0034045,0.0042258999999999994,10,True,True,True
2037.001312,1.002373,0.00422495,10,True,True,True
2037.008257,0.9958435,0.0042314,10,True,True,True
2037.015201,0.9966395,0.004236449999999999,10,True,True,True
2037.022146,1.001734,0.00423355,10,True,True,True
2037.029091,0.998361,0.0042288,10,True,True,True
2037.036035,0.9944850000000001,0.00423295,10,True,True,True
2037.04298,0.9972719999999999,0.00425215,10,True,True,True
2037.049924,1.00107,0.00423055,10,True,True,True
2037.056869,0.9980309999999999,0.0042384,10,True,True,True
2037.063814,0.9982949999999999,0.00424835,10,True,True,True
2037.070758,1.002316,0.0042376,10,True,True,True
2037.077703,0.9943195,0.00424895,10,True,True,True
2037.084647,0.9995595,0.00423785,10,True,True,True
2037.091592,0.9984065,0.004232700000000001,10,True,True,True
2037.098537,1.0021975,0.0042234,10,True,True,True
2037.105481,0.9974885,0.00423295,10,True,True,True
2037.112426,1.0019195,0.00425,10,True,True,True
2037.11937,0.9996015,0.00424495,10,True,True,True
2037.126315,0.997274,0.004249,10,True,True,True
2037.13326,0.9972989999999999,0.0042352,10,True,True,True
2037.140204,0.998708,0.004232049999999999,10,True,True,True
2037.147149,0.999197,0.004262449999999999,10,True,True,True
2037.154093,0.998289,0.00423855,10,True,True,True
2037.161038,0.9963565,0.0042489,10,True,True,True
2037.167983,0.9952695,0.004243,10,True,True,True
2037.174927,1.001301,0.00423115,10,True,True,True
2037.181872,0.9978214999999999,0.0042472,10,True,True,True
2037.188816,0.9991425,0.0042424,10,True,True,True
2037.195761,0.9973855,0.0042286,10,True,True,True
